order-number,bo-number,warehouse,cShopifyOrderNumber,cShopifyOrderID,warehouse-status,hold-code,lHasFulfillment,lHasShipment,iAge,shopify_status,shopify_location,shopify_order_id
V5533817,0,AV,#19424237,6193266229428,,,no,no,166,NOT FOUND,,
V5622004,0,AV,#19478579,6197514731700,,OMSHOLD,no,no,164,NOT FOUND,,
CH630931,0,AYS097,#19484129,6197816426676,,,no,no,164,NOT FOUND,,
PF610987,0,AYS051,#19471871,6197111161012,Accepted,,no,no,164,NOT FOUND,,
V5649533,0,AV,#19494550,6198864150708,,,no,no,163,NOT FOUND,,
V5650047,0,AV,#19494917,6198888661172,,,no,no,163,NOT FOUND,,
V6003340,0,AV,#19636521,6209119322292,,OMSHOLD,no,no,158,NOT FOUND,,
V6022332,0,AV,#19645575,6209591050420,,,no,no,158,NOT FOUND,,
V6060232,0,AV,#19660035,6210771288244,,,no,no,157,NOT FOUND,,
V6129531,0,AV,#19689436,6212991254708,,OMSHOLD,no,no,156,NOT FOUND,,
V6177992,0,AV,#19702743,6214131646644,,,no,no,156,NOT FOUND,,
V6160389,0,AV,#19697367,6213423694004,,,no,no,156,NOT FOUND,,
DO256206,0,AYS038,#19694723,6213277843636,,,no,no,156,NOT FOUND,,
FI256206,0,AYS007,#19694723,6213277843636,,,no,no,156,NOT FOUND,,
V6303246,0,AV,#19739706,6218515808436,,OMSHOLD,no,no,153,NOT FOUND,,
V6355017,0,AV,#19763933,6220747014324,,,no,no,152,NOT FOUND,,
V6465764,0,AV,#19829577,6225769038004,,,no,no,149,NOT FOUND,,
V6496394,0,AV,#19844606,6226988105908,,,no,no,149,NOT FOUND,,
V6508786,0,AV,#19850101,6227817136308,,,no,no,148,NOT FOUND,,
V6511436,0,AV,#19851518,6227946766516,,,no,no,148,NOT FOUND,,
V6517371,0,AV,#19855335,6228223033524,,,no,no,148,NOT FOUND,,
V6516567,0,AV,#19854790,6228186595508,,OMSHOLD,no,no,148,NOT FOUND,,
FA121538,0,AYS012,#19906766,6237108469940,,,no,no,145,NOT FOUND,,
S6622360,0,AS,#19911849,6237438673076,Accepted,,no,no,145,NOT FOUND,,
BR671626,0,AYS090,#19942770,6239873302708,,,no,no,144,NOT FOUND,,
MP671626,0,AYS042,#19942770,6239873302708,Backorder,,no,no,144,NOT FOUND,,
MP645097,0,AYS042,#19924134,6238798315700,Backorder,,no,no,144,NOT FOUND,,
TG861313,0,AYS003,#19929741,6239138152628,,,no,no,144,NOT FOUND,,
V6684097,0,AV,#19949981,6240806863028,,OMSHOLD,no,no,143,NOT FOUND,,
CE678299,0,AYS101,#19946021,6240333201588,Backorder,,no,no,143,NOT FOUND,,
V6720418,0,AV,#19970436,6242541371572,,OMSHOLD,no,no,142,NOT FOUND,,
SD767981,0,AYS011,#19996155,6245666455732,Accepted,,no,no,141,NOT FOUND,,
GD770436,0,AYS081,#19997877-1,6245817548980,Backorder,,no,no,141,NOT FOUND,,
V6835796,0,AV,#20029879,6249256485044,,OMSHOLD,no,no,139,NOT FOUND,,
PA369934,0,AYS021,#20059599,6252356796596,Accepted,,no,no,137,NOT FOUND,,
V7346188,0,AV,#20083002,6254216609972,,OMSHOLD,no,no,136,NOT FOUND,,
V6958463,0,AV,#20101107,6255633334452,,OMSHOLD,no,no,135,NOT FOUND,,
V6979954,0,AV,#20113493,6256703111348,,OMSHOLD,no,no,135,NOT FOUND,,
V7006826,0,AV,#20128822,6258935857332,,OMSHOLD,no,no,134,NOT FOUND,,
V7008098,0,AV,#20129657,6259023380660,,,no,no,134,NOT FOUND,,
V7687653,0,AV,#20122677,6258237997236,,OMSHOLD,no,no,134,NOT FOUND,,
TG027750,0,AYS003,#20139940,6260229570740,,,no,no,133,NOT FOUND,,
S0031376,0,AS,#20141508,6260459110580,,,no,no,133,NOT FOUND,,
V7092826,0,AV,#20176065,6263184195764,,,no,no,132,NOT FOUND,,
V7113710,0,AV,#20188387,6264486265012,,OMSHOLD,no,no,131,NOT FOUND,,
V7250338,0,AV,#20270940,6271905562804,,,no,no,128,NOT FOUND,,
S7256424,0,AS,#20252889,6270505287860,,,no,no,128,NOT FOUND,,
KT272346,0,AYS082,#20282049,6273069646004,Accepted,,no,no,127,NOT FOUND,,
V7254615,0,AV,#20272876,6272350978228,,,no,no,127,NOT FOUND,,
V7279860,0,AV,#20287045,6273477247156,,,no,no,127,NOT FOUND,,
OA307433,0,AYS015,#20301297,6274875621556,Accepted,,no,no,126,NOT FOUND,,
CE309768,0,AYS101,#20302799,6274994438324,Accepted,,no,no,126,NOT FOUND,,
IP343600,0,AYS039,#20322021,6276861296820,,,no,no,125,NOT FOUND,,
TG370130,0,AYS003,#20308250,6275871801524,Accepted,,no,no,125,NOT FOUND,,
V7345571,0,AV,#20323399,6277166694580,,,no,no,124,NOT FOUND,,
CC380410,0,AYS028,#20343646,6278701023412,Backorder,,no,no,124,NOT FOUND,,
FI364745,0,AYS007,#20334909,6278126502068,Accepted,,no,no,124,NOT FOUND,,
D7828054,0,AM,#20371317,6280727560372,,,no,no,123,NOT FOUND,,
D7860781,0,AM,#20353193,6279709098164,,,no,no,123,NOT FOUND,,
CC409769,0,AYS028,#20359475,6280045297844,Backorder,,no,no,123,NOT FOUND,,
D7397521,0,AM,#20352426,6279668007092,Shipped,,no,no,123,NOT FOUND,,
D7914546,0,AM,#20377804,6282233938100,,,no,no,122,NOT FOUND,,
D7866152,0,AM,#20389656,6282852860084,,,no,no,122,NOT FOUND,,
