OrderNumber,WarehouseStatus,CustOrderNum,ItemNumber,Warehouse,OrderQty,ShippedQty,CancelQty
V9147212,Invoiced,#23459629,GCSHOPIFY,AV,1,1,0
S9149089,,#23460326,W6273R003,AS,1,0,0
S9149089,,#23460326,W9772R063373,AS,1,0,0
S9149089,,#23460326,W6472RG063262,AS,1,0,0
S9149089,,#23460326,U3031RG063263,AS,1,0,0
S9149089,,#23460326,W5475R063263,AS,1,0,0
S9149089,,#23460326,W3924RG063263,AS,1,0,0
S9149089,,#23460326,U5012RG011,AS,1,0,0
S9149089,,#23460326,U3031RG013,AS,1,0,0
S9149089,,#23460326,W6489R002,AS,1,0,0
S9149089,,#23460326,W6489R012,AS,1,0,0
V9149089,,#23460326,A0485W002,AV,1,0,0
V9149089,,#23460326,A0660W002,AV,1,0,0
S9149089,,#23460326,W2799R013,AS,1,0,0
S9149089,,#23460326,W2799R003,AS,1,0,0
S9149089,,#23460326,U3031RG048313,AS,1,0,0
V9152182,Invoiced,#23460965,W6334R012,AV,1,1,0
V9152182,Invoiced,#23460965,W9730R063263,AV,1,1,0
S9153916,,#23462005,W4662R012,AS,1,0,0
V9155205,Invoiced,#23462793,W9730R063262,AV,1,1,0
V9155205,Invoiced,#23462793,W6334R012,AV,1,1,0
D9157763,Invoiced,#23464228,W9799R013,AM,1,0,1
V9157800,Backorder,#23464243,W54162R012,AS,1,0,0
D9158979,,#23464899,W9680R01002,AM,1,0,0
D9158979,,#23464899,W51361R040642,AS,1,0,0
S9686949,Accepted,#23465165,W9730R063262,AS,1,0,0
V9160097,Backorder,#23465525,W54162R013,AS,1,0,0
S9161449,Accepted,#23466273,W9772R014,AS,1,0,0
V9162209,Backorder,#23466657,W54162R012,AS,1,0,0
S9686918,Accepted,#23466700,W9730R063263,AS,1,0,0
V9162726,,#23466947,W54187R012,AS,1,0,0
S9162858,Manifested,#23467015,W6334R012,AV,1,0,0
V9163417,Backorder,#23467301,W54162R013,AS,1,0,0
ED163928,Ready,#23467574,W2675RG063353,AYS102,1,0,0
ED163928,Ready,#23467574,W6295R062813,AYS102,1,0,0
ED163928,Ready,#23467574,W51432R038422,AYS102,1,0,0
V9164948,Backorder,#23468147,W51361R040642,AS,1,0,0
D9165118,Invoiced,#23468238,W6334R012,AM,1,1,0
V9166221,Backorder,#23468867,W54162R013,AS,1,0,0
V9166221,Backorder,#23468867,W54162R012,AS,1,0,0
V9166356,Backorder,#23468942,W54162R011,AS,1,0,0
D9166423,Invoiced,#23468984,W6334R012,AM,1,1,0
V9167410,Backorder,#23469587,W54162R012,AS,1,0,0
V9168590,Backorder,#23470286,M3199R043523,AS,1,0,0
V9169072,Invoiced,#23470531,W54174R011,AV,1,1,0
V9178834,Invoiced,#23472328,A0590U06030075,AV,1,0,1
D9180518,Invoiced,#23472975,W3295R021253,AM,7,7,0
D9206019,Invoiced,#23472975,W3295R021253,AM,3,3,0
LE184239,Ready,#23475077,W2675RG063352,AYS098,1,0,0
V9190088,Invoiced,#23478480,A0467U00001,AV,1,1,0
V9190088,Invoiced,#23478480,A0660W002,AV,1,1,0
V9190088,Invoiced,#23478480,W6355R002,AV,1,1,0
V9190088,Invoiced,#23478480,W6472RG012,AV,1,1,0
V9190088,Invoiced,#23478480,W9218R012,AV,1,1,0
V9190088,Invoiced,#23478480,U3041RG048312,AV,1,1,0
AV195710,Ready,#23480226,A0590U0000090,AYS052,1,0,0
MP788977,Accepted,#23481199,A0648U01011,AYS042,1,0,0
V9197430,Backorder,#23481205,W54162R014,AS,1,0,0
PI198096,Ready,#23481610,A0590U0000055,AYS103,1,0,0
PI198096,Ready,#23481610,W3660R004,AYS103,1,0,0
S9199098,Manifested,#23482246,W54187R011,AV,1,0,0
V9199547,Backorder,#23482518,W51361R040642,AS,1,0,0
BR199561,Invoiced,#23482530,M6129R016,AYS090,2,2,0
BR203197,Waved,#23482530,M6129R016,AYS090,1,0,0
V9200270,Backorder,#23482974,W9811R065090,AS,1,0,0
V9200393,Backorder,#23483033,W9811R065090,AS,1,0,0
V9200405,Backorder,#23483042,W9811R065091,AS,1,0,0
V9200572,Backorder,#23483131,W9811R065094,AS,1,0,0
V9200638,Backorder,#23483168,W54162R013,AS,1,0,0
V9200638,Backorder,#23483168,W54162R012,AS,1,0,0
V9200745,Backorder,#23483223,W9811R065092,AS,1,0,0
V9200828,Backorder,#23483255,W9811R065093,AS,1,0,0
V9200924,Backorder,#23483305,W9811R065094,AS,1,0,0
V9200971,Backorder,#23483331,W9811R065090,AS,1,0,0
V9201004,Backorder,#23483352,W9811R065091,AS,1,0,0
V9201016,Backorder,#23483364,W9811R065092,AS,1,0,0
V9201116,Backorder,#23483414,W9811R065091,AS,1,0,0
V9201201,Backorder,#23483457,W9811R065094,AS,1,0,0
V9201353,Backorder,#23483537,W9811R065094,AS,1,0,0
V9201421,Backorder,#23483583,W9811R065091,AS,1,0,0
V9201470,Backorder,#23483606,W9811R065092,AS,1,0,0
V9201473,Backorder,#23483610,W9811R065091,AS,1,0,0
V9201585,,#23483675,W9811R065094,AS,1,0,0
V9201653,,#23483718,W9811R065094,AV,1,0,0
V9201722,Backorder,#23483767,W9811R065093,AS,1,0,0
V9201734,Backorder,#23483768,W9811R065093,AS,1,0,0
