Count of Order Id,Org Id,Order Id,Order Name,Line Id,Product Id,Location Id,Fulfillment Id,Status,Order Date PST,Order Shipment Line Units in Status,Order Line Type,Status Entered Time PST,Current Time PST,Open For Hours Order Date,Open For Hours Status Entered Time,Status Updated Time
1532,ALO,6008793104564,EXCHL-16020492-1,7,B2M37G00011,AS,6008793104564_AS_980,RELEASED,2024-11-10 15:59:53,1.0,SALES,2024-11-13 04:17:01,2025-07-01 10:05:56,61,5526,2024-11-13 12:17:01
1532,ALO,6008793104564,EXCHL-16020492-1,6,B2M33G200011,AS,6008793104564_AS_980,RELEASED,2024-11-10 15:59:53,1.0,SALES,2024-11-13 04:17:01,2025-07-01 10:05:56,61,5526,2024-11-13 12:17:01
1532,ALO,6008793104564,EXCHL-16020492-1,1,U3032RG013,AS,6008793104564_AS_980,RELEASED,2024-11-10 15:59:53,1.0,SALES,2024-11-13 04:17:01,2025-07-01 10:05:56,61,5526,2024-11-13 12:17:01
1532,ALO,6008793104564,EXCHL-16020492-1,2,U5013RG013,AS,6008793104564_AS_980,RELEASED,2024-11-10 15:59:53,1.0,SALES,2024-11-13 04:17:01,2025-07-01 10:05:56,61,5526,2024-11-13 12:17:01
1532,ALO,6026544414900,EXCHL-16375290-1,2,U5013RG058165,AS,6026544414900_AS_569,RELEASED,2024-11-14 14:16:54,1.0,SALES,2024-11-18 03:26:52,2025-07-01 10:05:56,85,5407,2024-11-18 11:26:52
1532,ALO,6026544414900,EXCHL-16375290-1,5,B2M33G200011,AS,6026544414900_AS_569,RELEASED,2024-11-14 14:16:54,1.0,SALES,2024-11-18 03:26:52,2025-07-01 10:05:56,85,5407,2024-11-18 11:26:52
1532,ALO,6026544414900,EXCHL-16375290-1,4,U3031RG058165,AS,6026544414900_AS_569,RELEASED,2024-11-14 14:16:54,1.0,SALES,2024-11-18 03:26:52,2025-07-01 10:05:56,85,5407,2024-11-18 11:26:52
1532,ALO,6203306836148,#19562191,24,U3032RG058173,AM,6203306836148_AM_745,RELEASED,2025-01-15 08:44:41,1.0,SALES,2025-01-15 08:45:14,2025-07-01 10:05:56,0,4010,2025-01-15 16:45:14
1532,ALO,6246872776884,#20005109,1,A0363U012,AM,6246872776884_AM_582,RELEASED,2025-02-05 10:39:07,1.0,PREORDER,2025-02-26 04:08:28,2025-07-01 10:05:56,498,3006,2025-02-26 12:08:28
1532,ALO,6257085808820,#20118651,17,N7009F00018OZ,AS,6257085808820_AS_573,PICKED,2025-02-10 19:54:58,1.0,SALES,2025-02-10 20:11:02,2025-07-01 10:05:56,1,3374,2025-03-08 02:11:24
